image,variant,scale_value,decoded_answer,p_like,model,condition,phrasing,decoded_like_binary
029_correct,correct,,scroll,9.028039015031105e-05,gemma-12b,baseline,single,0
029_incorrect,incorrect,,scroll,0.00020988308820313111,gemma-12b,baseline,single,0
030_correct,correct,,scroll,0.00020988308820313111,gemma-12b,baseline,single,0
030_incorrect,incorrect,,scroll,0.0005274784125231481,gemma-12b,baseline,single,0
031_correct,correct,,scroll,0.00013135179706526775,gemma-12b,baseline,single,0
031_incorrect,incorrect,,scroll,0.00024156629828672453,gemma-12b,baseline,single,0
032_correct,correct,,scroll,0.00012339457598623172,gemma-12b,baseline,single,0
032_incorrect,incorrect,,scroll,0.00025315637215092633,gemma-12b,baseline,single,0
033_correct,correct,,scroll,0.00012339457598623172,gemma-12b,baseline,single,0
033_incorrect,incorrect,,scroll,0.0003053489321118595,gemma-12b,baseline,single,0
034_correct,correct,,scroll,0.00011591934318633098,gemma-12b,baseline,single,0
034_incorrect,incorrect,,scroll,0.00030061635882429376,gemma-12b,baseline,single,0
035_correct,correct,,scroll,0.00015843621910252594,gemma-12b,baseline,single,0
035_incorrect,incorrect,,scroll,0.00021995337243206476,gemma-12b,baseline,single,0
036_correct,correct,,scroll,0.00010554685795431097,gemma-12b,baseline,single,0
036_incorrect,incorrect,,scroll,0.00015356239764960123,gemma-12b,baseline,single,0
037_correct,correct,,scroll,9.610241549947395e-05,gemma-12b,baseline,single,0
037_incorrect,incorrect,,scroll,0.0002611903190957194,gemma-12b,baseline,single,0
038_correct,correct,,scroll,0.00028685408238746286,gemma-12b,baseline,single,0
038_incorrect,incorrect,,scroll,0.0004356301410126391,gemma-12b,baseline,single,0
039_correct,correct,,scroll,0.00019411318677896262,gemma-12b,baseline,single,0
039_incorrect,incorrect,,scroll,0.0003541936514549751,gemma-12b,baseline,single,0
040_correct,correct,,scroll,0.00016865275398914432,gemma-12b,baseline,single,0
040_incorrect,incorrect,,scroll,0.00032503584523654725,gemma-12b,baseline,single,0
041_correct,correct,,scroll,0.00013135179706526775,gemma-12b,baseline,single,0
041_incorrect,incorrect,,scroll,0.00032503584523654725,gemma-12b,baseline,single,0
042_correct,correct,,scroll,0.00018522574326531078,gemma-12b,baseline,single,0
042_incorrect,incorrect,,scroll,0.00031503869408133935,gemma-12b,baseline,single,0
043_correct,correct,,scroll,0.00011591934318633098,gemma-12b,baseline,single,0
043_incorrect,incorrect,,scroll,0.00033535013046647816,gemma-12b,baseline,single,0
044_correct,correct,,scroll,0.00015118199327273334,gemma-12b,baseline,single,0
044_incorrect,incorrect,,scroll,0.000330152725097801,gemma-12b,baseline,single,0
045_correct,correct,,scroll,0.0003920417892376281,gemma-12b,baseline,single,0
045_incorrect,incorrect,,scroll,0.0003982130906163543,gemma-12b,baseline,single,0
046_correct,correct,,scroll,0.0001195985780502316,gemma-12b,baseline,single,0
046_incorrect,incorrect,,scroll,0.000519304864494927,gemma-12b,baseline,single,0
047_correct,correct,,scroll,0.00015843621910252594,gemma-12b,baseline,single,0
047_incorrect,incorrect,,scroll,0.00030061635882429376,gemma-12b,baseline,single,0
048_correct,correct,,scroll,0.0001355207856240677,gemma-12b,baseline,single,0
048_incorrect,incorrect,,scroll,0.00025315637215092633,gemma-12b,baseline,single,0
049_correct,correct,,scroll,0.00019716942196222918,gemma-12b,baseline,single,0
049_incorrect,incorrect,,scroll,0.00045121062377819225,gemma-12b,baseline,single,0
050_correct,correct,,scroll,9.028039015031105e-05,gemma-12b,baseline,single,0
050_incorrect,incorrect,,scroll,0.0003625900662832244,gemma-12b,baseline,single,0
051_correct,correct,,scroll,0.0001195985780502316,gemma-12b,baseline,single,0
051_incorrect,incorrect,,scroll,0.00016865275398914432,gemma-12b,baseline,single,0
052_correct,correct,,scroll,0.00013765463368900106,gemma-12b,baseline,single,0
052_incorrect,incorrect,,scroll,0.000213187561290652,gemma-12b,baseline,single,0
053_correct,correct,,scroll,0.00016865275398914432,gemma-12b,baseline,single,0
053_incorrect,incorrect,,scroll,0.00022782184915136856,gemma-12b,baseline,single,0
054_correct,correct,,scroll,0.00010889691002655443,gemma-12b,baseline,single,0
054_incorrect,incorrect,,scroll,0.0003625900662832244,gemma-12b,baseline,single,0
055_correct,correct,,scroll,0.0001355207856240677,gemma-12b,baseline,single,0
055_incorrect,incorrect,,scroll,0.0003053489321118595,gemma-12b,baseline,single,0
056_correct,correct,,scroll,0.00021654404989510323,gemma-12b,baseline,single,0
056_incorrect,incorrect,,scroll,0.0003982130906163543,gemma-12b,baseline,single,0
057_correct,correct,,scroll,8.220189478350843e-05,gemma-12b,baseline,single,0
057_incorrect,incorrect,,scroll,0.0002737216731838081,gemma-12b,baseline,single,0
058_correct,correct,,scroll,0.00014653129390717956,gemma-12b,baseline,single,0
058_incorrect,incorrect,,scroll,0.00026947915555885544,gemma-12b,baseline,single,0
059_correct,correct,,scroll,0.00011774459228387069,gemma-12b,baseline,single,0
059_incorrect,incorrect,,scroll,0.00014425986448478857,gemma-12b,baseline,single,0
060_correct,correct,,scroll,0.00011591934318633098,gemma-12b,baseline,single,0
060_incorrect,incorrect,,scroll,0.0004108485376346404,gemma-12b,baseline,single,0
061_correct,correct,,scroll,0.00023782205064034186,gemma-12b,baseline,single,0
061_incorrect,incorrect,,scroll,0.00023231418862275664,gemma-12b,baseline,single,0
062_correct,correct,,scroll,7.843789122138342e-05,gemma-12b,baseline,single,0
062_incorrect,incorrect,,scroll,0.00017400543552708927,gemma-12b,baseline,single,0
063_correct,correct,,scroll,7.031184266914957e-05,gemma-12b,baseline,single,0
063_incorrect,incorrect,,scroll,0.0001795279693467774,gemma-12b,baseline,single,0
064_correct,correct,,scroll,0.0001195985780502316,gemma-12b,baseline,single,0
064_incorrect,incorrect,,scroll,0.00024227487804178032,gemma-12b,baseline,single,0
065_correct,correct,,scroll,0.00019716942196222918,gemma-12b,baseline,single,0
065_incorrect,incorrect,,scroll,0.00028685408238746286,gemma-12b,baseline,single,0
066_correct,correct,,scroll,0.00012339457598623172,gemma-12b,baseline,single,0
066_incorrect,incorrect,,scroll,0.00025714197979577713,gemma-12b,baseline,single,0
067_correct,correct,,scroll,6.302758756443266e-05,gemma-12b,baseline,single,0
067_incorrect,incorrect,,scroll,9.3145930425751e-05,gemma-12b,baseline,single,0
068_correct,correct,,scroll,0.00011235328063870752,gemma-12b,baseline,single,0
068_incorrect,incorrect,,scroll,0.00010554685795431097,gemma-12b,baseline,single,0
069_correct,correct,,scroll,0.00016865275398914432,gemma-12b,baseline,single,0
069_incorrect,incorrect,,scroll,0.0003982130906163543,gemma-12b,baseline,single,0
070_correct,correct,,scroll,0.00018522574326531078,gemma-12b,baseline,single,0
070_incorrect,incorrect,,scroll,0.00016865275398914432,gemma-12b,baseline,single,0
071_correct,correct,,scroll,0.00010889691002655443,gemma-12b,baseline,single,0
071_incorrect,incorrect,,scroll,0.00023689508997749848,gemma-12b,baseline,single,0
072_correct,correct,,scroll,0.00011235328063870752,gemma-12b,baseline,single,0
072_incorrect,incorrect,,scroll,0.00018235460794662427,gemma-12b,baseline,single,0
073_correct,correct,,scroll,0.00016865275398914432,gemma-12b,baseline,single,0
073_incorrect,incorrect,,scroll,0.0002611903190957194,gemma-12b,baseline,single,0
074_correct,correct,,scroll,0.00016346470245419303,gemma-12b,baseline,single,0
074_incorrect,incorrect,,scroll,0.0005614787461400804,gemma-12b,baseline,single,0
075_correct,correct,,scroll,0.00022693385749600556,gemma-12b,baseline,single,0
075_incorrect,incorrect,,scroll,0.00031503869408133935,gemma-12b,baseline,single,0
076_correct,correct,,scroll,0.00013135179706526775,gemma-12b,baseline,single,0
076_incorrect,incorrect,,scroll,0.00030061635882429376,gemma-12b,baseline,single,0
077_correct,correct,,scroll,0.00016346470245419303,gemma-12b,baseline,single,0
077_incorrect,incorrect,,scroll,0.0004373344035182828,gemma-12b,baseline,single,0
078_correct,correct,,scroll,8.220189478350843e-05,gemma-12b,baseline,single,0
078_incorrect,incorrect,,scroll,0.00011591934318633098,gemma-12b,baseline,single,0
079_correct,correct,,scroll,9.610241549947395e-05,gemma-12b,baseline,single,0
079_incorrect,incorrect,,scroll,0.0003799845147518645,gemma-12b,baseline,single,0
080_correct,correct,,scroll,9.3145930425751e-05,gemma-12b,baseline,single,0
080_incorrect,incorrect,,scroll,0.0002234163601827719,gemma-12b,baseline,single,0
081_correct,correct,,scroll,8.220189478350843e-05,gemma-12b,baseline,single,0
081_incorrect,incorrect,,scroll,0.00010554685795431097,gemma-12b,baseline,single,0
082_correct,correct,,scroll,0.0001795279693467774,gemma-12b,baseline,single,0
082_incorrect,incorrect,,scroll,0.00028685408238746286,gemma-12b,baseline,single,0
083_correct,correct,,scroll,0.00011412238544346031,gemma-12b,baseline,single,0
083_incorrect,incorrect,,scroll,0.0002780309638775155,gemma-12b,baseline,single,0
084_correct,correct,,scroll,0.00011412238544346031,gemma-12b,baseline,single,0
084_incorrect,incorrect,,scroll,0.0002891032564081187,gemma-12b,baseline,single,0
085_correct,correct,,scroll,0.0001488384825728813,gemma-12b,baseline,single,0
085_incorrect,incorrect,,scroll,0.00018522574326531078,gemma-12b,baseline,single,0
086_correct,correct,,scroll,0.00024923252458203564,gemma-12b,baseline,single,0
086_incorrect,incorrect,,scroll,0.0005442132624325574,gemma-12b,baseline,single,0
087_correct,correct,,scroll,0.00025315637215092633,gemma-12b,baseline,single,0
087_incorrect,incorrect,,scroll,0.0002453694805426224,gemma-12b,baseline,single,0
088_correct,correct,,scroll,0.00018522574326531078,gemma-12b,baseline,single,0
088_incorrect,incorrect,,scroll,0.0004442183589214343,gemma-12b,baseline,single,0
089_correct,correct,,scroll,7.967300986103147e-05,gemma-12b,baseline,single,0
089_incorrect,incorrect,,scroll,0.0003682979260160596,gemma-12b,baseline,single,0
090_correct,correct,,scroll,8.481104172358075e-05,gemma-12b,baseline,single,0
090_incorrect,incorrect,,scroll,0.0005976693711028652,gemma-12b,baseline,single,0
091_correct,correct,,scroll,0.00010889691002655443,gemma-12b,baseline,single,0
091_incorrect,incorrect,,scroll,0.00028685408238746286,gemma-12b,baseline,single,0
092_correct,correct,,scroll,0.00031999824407395836,gemma-12b,baseline,single,0
092_incorrect,incorrect,,scroll,0.0003682979260160596,gemma-12b,baseline,single,0
093_correct,correct,,scroll,0.0001355207856240677,gemma-12b,baseline,single,0
093_incorrect,incorrect,,scroll,0.0003799845147518645,gemma-12b,baseline,single,0
094_correct,correct,,scroll,0.0001795279693467774,gemma-12b,baseline,single,0
094_incorrect,incorrect,,scroll,0.0002611903190957194,gemma-12b,baseline,single,0
095_correct,correct,,scroll,0.0002234163601827719,gemma-12b,baseline,single,0
095_incorrect,incorrect,,scroll,0.0007208380258812108,gemma-12b,baseline,single,0
096_correct,correct,,scroll,0.00031503869408133935,gemma-12b,baseline,single,0
096_incorrect,incorrect,,scroll,0.0004477008468802068,gemma-12b,baseline,single,0
097_correct,correct,,scroll,0.00017400543552708927,gemma-12b,baseline,single,0
097_incorrect,incorrect,,scroll,0.0003859660905807735,gemma-12b,baseline,single,0
098_correct,correct,,scroll,0.00016346470245419303,gemma-12b,baseline,single,0
098_incorrect,incorrect,,scroll,0.0004442183589214343,gemma-12b,baseline,single,0
099_correct,correct,,scroll,8.220189478350843e-05,gemma-12b,baseline,single,0
099_incorrect,incorrect,,scroll,0.00040448149784208087,gemma-12b,baseline,single,0
100_correct,correct,,scroll,0.00015118199327273334,gemma-12b,baseline,single,0
100_incorrect,incorrect,,scroll,0.0003859660905807735,gemma-12b,baseline,single,0
001_correct,correct,,no,1.1843139025979654e-05,gemma-12b,baseline,yesno,0
001_incorrect,incorrect,,no,9.761566060239503e-05,gemma-12b,baseline,yesno,0
002_correct,correct,,no,2.190781582575787e-06,gemma-12b,baseline,yesno,0
002_incorrect,incorrect,,no,7.967300986103147e-05,gemma-12b,baseline,yesno,0
003_correct,correct,,no,1.1843139025979654e-05,gemma-12b,baseline,yesno,0
003_incorrect,incorrect,,no,4.0377902974126864e-05,gemma-12b,baseline,yesno,0
004_correct,correct,,no,8.664644884729293e-06,gemma-12b,baseline,yesno,0
004_incorrect,incorrect,,no,9.134448961251416e-05,gemma-12b,baseline,yesno,0
005_correct,correct,,no,1.1125607488784409e-05,gemma-12b,baseline,yesno,0
005_incorrect,incorrect,,no,4.4694071442156975e-05,gemma-12b,baseline,yesno,0
006_correct,correct,,no,5.4222241410215745e-06,gemma-12b,baseline,yesno,0
006_incorrect,incorrect,,no,0.0003379794251899563,gemma-12b,baseline,yesno,0
007_correct,correct,,no,4.9369936577167445e-06,gemma-12b,baseline,yesno,0
007_incorrect,incorrect,,no,2.5071593847983193e-05,gemma-12b,baseline,yesno,0
008_correct,correct,,no,4.495177291595784e-06,gemma-12b,baseline,yesno,0
008_incorrect,incorrect,,no,1.3846004563753395e-05,gemma-12b,baseline,yesno,0
009_correct,correct,,no,3.0894944480071384e-06,gemma-12b,baseline,yesno,0
009_incorrect,incorrect,,no,4.006369222920725e-05,gemma-12b,baseline,yesno,0
010_correct,correct,,no,1.8342893327886848e-05,gemma-12b,baseline,yesno,0
010_incorrect,incorrect,,no,0.00019716942196222918,gemma-12b,baseline,yesno,0
011_correct,correct,,no,2.0580491096133838e-06,gemma-12b,baseline,yesno,0
011_incorrect,incorrect,,no,6.205049602300743e-05,gemma-12b,baseline,yesno,0
012_correct,correct,,no,1.3420013504783409e-05,gemma-12b,baseline,yesno,0
012_incorrect,incorrect,,no,8.349627818261146e-05,gemma-12b,baseline,yesno,0
013_correct,correct,,no,2.6688529572628563e-05,gemma-12b,baseline,yesno,0
013_incorrect,incorrect,,no,8.481104172358075e-05,gemma-12b,baseline,yesno,0
014_correct,correct,,no,4.0929110499856e-06,gemma-12b,baseline,yesno,0
014_incorrect,incorrect,,no,1.8342893327886848e-05,gemma-12b,baseline,yesno,0
015_correct,correct,,no,1.6187581436151334e-05,gemma-12b,baseline,yesno,0
015_incorrect,incorrect,,no,7.254361823018916e-05,gemma-12b,baseline,yesno,0
016_correct,correct,,no,3.7266392841865614e-06,gemma-12b,baseline,yesno,0
016_incorrect,incorrect,,no,6.814872211615988e-05,gemma-12b,baseline,yesno,0
017_correct,correct,,no,1.2219076020491005e-05,gemma-12b,baseline,yesno,0
017_incorrect,incorrect,,no,3.440260900814691e-05,gemma-12b,baseline,yesno,0
018_correct,correct,,no,1.3846017768155798e-05,gemma-12b,baseline,yesno,0
018_incorrect,incorrect,,no,6.976470974169522e-05,gemma-12b,baseline,yesno,0
019_correct,correct,,no,2.7264728708547517e-06,gemma-12b,baseline,yesno,0
019_incorrect,incorrect,,no,4.006369222920725e-05,gemma-12b,baseline,yesno,0
020_correct,correct,,no,6.540437226933636e-06,gemma-12b,baseline,yesno,0
020_incorrect,incorrect,,no,8.614650623806317e-05,gemma-12b,baseline,yesno,0
021_correct,correct,,no,6.96225625013837e-06,gemma-12b,baseline,yesno,0
021_incorrect,incorrect,,no,5.225226840386986e-05,gemma-12b,baseline,yesno,0
022_correct,correct,,no,1.9947297215270572e-06,gemma-12b,baseline,yesno,0
022_incorrect,incorrect,,no,5.594337713435001e-06,gemma-12b,baseline,yesno,0
023_correct,correct,,no,3.1875652166284775e-06,gemma-12b,baseline,yesno,0
023_incorrect,incorrect,,no,5.093705003229987e-06,gemma-12b,baseline,yesno,0
024_correct,correct,,no,1.1843150320348791e-05,gemma-12b,baseline,yesno,0
024_incorrect,incorrect,,no,6.540443464342817e-06,gemma-12b,baseline,yesno,0
025_correct,correct,,no,3.500854414401442e-06,gemma-12b,baseline,yesno,0
025_incorrect,incorrect,,no,6.605214485464791e-05,gemma-12b,baseline,yesno,0
026_correct,correct,,no,9.516251694168764e-06,gemma-12b,baseline,yesno,0
026_incorrect,incorrect,,no,4.006369222920725e-05,gemma-12b,baseline,yesno,0
027_correct,correct,,no,5.594337713435001e-06,gemma-12b,baseline,yesno,0
027_incorrect,incorrect,,no,5.242476164912156e-05,gemma-12b,baseline,yesno,0
028_correct,correct,,no,1.2606946239951314e-05,gemma-12b,baseline,yesno,0
028_incorrect,incorrect,,no,7.967300986103147e-05,gemma-12b,baseline,yesno,0
029_correct,correct,,no,4.637868874355702e-06,gemma-12b,baseline,yesno,0
029_incorrect,incorrect,,no,4.2647468185579125e-05,gemma-12b,baseline,yesno,0
030_correct,correct,,no,6.144174602214718e-06,gemma-12b,baseline,yesno,0
030_incorrect,incorrect,,no,9.3145930425751e-05,gemma-12b,baseline,yesno,0
031_correct,correct,,no,2.5071593847983193e-05,gemma-12b,baseline,yesno,0
031_incorrect,incorrect,,no,6.014151777699534e-05,gemma-12b,baseline,yesno,0
032_correct,correct,,no,5.422218970016178e-06,gemma-12b,baseline,yesno,0
032_incorrect,incorrect,,no,4.1335397768930325e-05,gemma-12b,baseline,yesno,0
033_correct,correct,,no,3.844938725548804e-06,gemma-12b,baseline,yesno,0
033_incorrect,incorrect,,no,8.092757566536091e-05,gemma-12b,baseline,yesno,0
034_correct,correct,,no,1.5689549727726036e-05,gemma-12b,baseline,yesno,0
034_incorrect,incorrect,,no,6.922183404468203e-05,gemma-12b,baseline,yesno,0
035_correct,correct,,no,1.0451548051737736e-05,gemma-12b,baseline,yesno,0
035_incorrect,incorrect,,no,3.21923344970378e-05,gemma-12b,baseline,yesno,0
036_correct,correct,,no,8.398064025997005e-06,gemma-12b,baseline,yesno,0
036_incorrect,incorrect,,no,1.0783312222985274e-05,gemma-12b,baseline,yesno,0
037_correct,correct,,no,4.9369936577167445e-06,gemma-12b,baseline,yesno,0
037_incorrect,incorrect,,no,7.031184266914957e-05,gemma-12b,baseline,yesno,0
038_correct,correct,,no,4.5397868702434395e-05,gemma-12b,baseline,yesno,0
038_incorrect,incorrect,,no,9.461262661302226e-05,gemma-12b,baseline,yesno,0
039_correct,correct,,no,1.3007128466476033e-05,gemma-12b,baseline,yesno,0
039_incorrect,incorrect,,no,0.00010715647126054197,gemma-12b,baseline,yesno,0
040_correct,correct,,no,1.3420013504783409e-05,gemma-12b,baseline,yesno,0
040_incorrect,incorrect,,no,4.006369222920725e-05,gemma-12b,baseline,yesno,0
041_correct,correct,,no,6.96225625013837e-06,gemma-12b,baseline,yesno,0
041_incorrect,incorrect,,no,5.349132895744941e-05,gemma-12b,baseline,yesno,0
042_correct,correct,,no,6.339216449484342e-06,gemma-12b,baseline,yesno,0
042_incorrect,incorrect,,no,3.024195853395102e-05,gemma-12b,baseline,yesno,0
043_correct,correct,,no,6.748051590048604e-06,gemma-12b,baseline,yesno,0
043_incorrect,incorrect,,no,5.6497933283762946e-05,gemma-12b,baseline,yesno,0
044_correct,correct,,no,3.024195853395102e-05,gemma-12b,baseline,yesno,0
044_incorrect,incorrect,,no,6.814872211615988e-05,gemma-12b,baseline,yesno,0
045_correct,correct,,no,4.1335397768930325e-05,gemma-12b,baseline,yesno,0
045_incorrect,incorrect,,no,0.0001195985780502316,gemma-12b,baseline,yesno,0
046_correct,correct,,no,7.411272804082621e-06,gemma-12b,baseline,yesno,0
046_incorrect,incorrect,,no,7.967300986103147e-05,gemma-12b,baseline,yesno,0
047_correct,correct,,no,1.473898197449493e-05,gemma-12b,baseline,yesno,0
047_incorrect,incorrect,,no,8.415109250079664e-05,gemma-12b,baseline,yesno,0
048_correct,correct,,no,1.1125596878701398e-05,gemma-12b,baseline,yesno,0
048_incorrect,incorrect,,no,3.944258675190878e-05,gemma-12b,baseline,yesno,0
049_correct,correct,,no,8.13970038750382e-06,gemma-12b,baseline,yesno,0
049_incorrect,incorrect,,no,2.6480843287604657e-05,gemma-12b,baseline,yesno,0
050_correct,correct,,no,2.3320745258447814e-06,gemma-12b,baseline,yesno,0
050_incorrect,incorrect,,no,4.2647468185579125e-05,gemma-12b,baseline,yesno,0
051_correct,correct,,no,2.931153855960119e-05,gemma-12b,baseline,yesno,0
051_incorrect,incorrect,,no,4.6838884249524555e-05,gemma-12b,baseline,yesno,0
052_correct,correct,,no,2.3552618543037957e-05,gemma-12b,baseline,yesno,0
052_incorrect,incorrect,,no,5.829126566113865e-05,gemma-12b,baseline,yesno,0
053_correct,correct,,no,6.748058025451735e-06,gemma-12b,baseline,yesno,0
053_incorrect,incorrect,,no,4.2772589789967356e-05,gemma-12b,baseline,yesno,0
054_correct,correct,,no,6.540437226933636e-06,gemma-12b,baseline,yesno,0
054_incorrect,incorrect,,no,9.058946565319525e-05,gemma-12b,baseline,yesno,0
055_correct,correct,,no,6.748058025451735e-06,gemma-12b,baseline,yesno,0
055_incorrect,incorrect,,no,4.6838884249524555e-05,gemma-12b,baseline,yesno,0
056_correct,correct,,no,1.4285517650093405e-05,gemma-12b,baseline,yesno,0
056_incorrect,incorrect,,no,0.00015000566214994787,gemma-12b,baseline,yesno,0
057_correct,correct,,no,7.411272804082621e-06,gemma-12b,baseline,yesno,0
057_incorrect,incorrect,,no,3.321419494792514e-05,gemma-12b,baseline,yesno,0
058_correct,correct,,no,2.0785170435063725e-05,gemma-12b,baseline,yesno,0
058_incorrect,incorrect,,no,4.2647468185579125e-05,gemma-12b,baseline,yesno,0
059_correct,correct,,no,7.183260399857925e-06,gemma-12b,baseline,yesno,0
059_incorrect,incorrect,,no,1.0451548051737736e-05,gemma-12b,baseline,yesno,0
060_correct,correct,,no,9.516251694168764e-06,gemma-12b,baseline,yesno,0
060_incorrect,incorrect,,no,7.602479448313689e-05,gemma-12b,baseline,yesno,0
061_correct,correct,,no,1.3007128466476033e-05,gemma-12b,baseline,yesno,0
061_incorrect,incorrect,,no,5.164354247624959e-05,gemma-12b,baseline,yesno,0
062_correct,correct,,no,3.966985914946731e-06,gemma-12b,baseline,yesno,0
062_incorrect,incorrect,,no,2.931153855960119e-05,gemma-12b,baseline,yesno,0
063_correct,correct,,no,3.288749065460498e-06,gemma-12b,baseline,yesno,0
063_incorrect,incorrect,,no,1.9525885208642217e-05,gemma-12b,baseline,yesno,0
064_correct,correct,,no,3.6119830612765793e-06,gemma-12b,baseline,yesno,0
064_incorrect,incorrect,,no,7.197911994931086e-05,gemma-12b,baseline,yesno,0
065_correct,correct,,no,8.939696304799167e-06,gemma-12b,baseline,yesno,0
065_incorrect,incorrect,,no,9.610241549947395e-05,gemma-12b,baseline,yesno,0
066_correct,correct,,no,7.1832672503029345e-06,gemma-12b,baseline,yesno,0
066_incorrect,incorrect,,no,3.21923344970378e-05,gemma-12b,baseline,yesno,0
067_correct,correct,,no,3.500854414401442e-06,gemma-12b,baseline,yesno,0
067_incorrect,incorrect,,no,5.422218970016178e-06,gemma-12b,baseline,yesno,0
068_correct,correct,,no,4.3568799834673755e-06,gemma-12b,baseline,yesno,0
068_incorrect,incorrect,,no,8.939696304799167e-06,gemma-12b,baseline,yesno,0
069_correct,correct,,no,1.1125607488784409e-05,gemma-12b,baseline,yesno,0
069_incorrect,incorrect,,no,0.00010150383174795512,gemma-12b,baseline,yesno,0
070_correct,correct,,no,2.97731143841062e-05,gemma-12b,baseline,yesno,0
070_incorrect,incorrect,,no,3.373722476473661e-05,gemma-12b,baseline,yesno,0
071_correct,correct,,no,4.785099058292179e-06,gemma-12b,baseline,yesno,0
071_incorrect,incorrect,,no,2.1403105527992867e-05,gemma-12b,baseline,yesno,0
